,Index,Cluster
0,ARKK,3
1,ARKQ,0
2,ARKW,0
3,CIBR,3
4,CQQQ,3
5,CWEB,3
6,FDN,3
7,FTC,3
8,FTEC,0
9,FTXL,0
10,FXI,0
11,FXL,3
12,FXP,3
13,FYC,3
14,GAMR,0
15,HACK,3
16,IDLV,3
17,IDX,0
18,IEFA,3
19,IGM,3
20,IGV,3
21,IPAY,3
22,ISMD,3
23,ITEQ,0
24,IXN,5
25,IYW,3
26,KWEB,4
27,MTUM,4
28,NULG,4
29,NUMG,2
30,NXTG,4
31,ONEQ,4
32,PIN,4
33,PIZ,8
34,PNQI,1
35,PRNT,9
36,PSCT,1
37,PSI,9
38,PTF,1
39,QQEW,1
40,QQQ,1
41,QQQE,9
42,QTEC,1
43,QYLD,9
44,ROM,7
45,SKYY,7
46,SMH,9
47,SNSR,7
48,SOXL,6
49,SOXS,6
50,SOXX,4
51,SUSA,2
52,TDIV,6
53,TECL,4
54,TECS,2
55,TLTD,4
56,TLTE,2
57,TQQQ,4
58,USD,2
59,VGT,4
60,VV,8
61,XLK,2
62,XNTK,9
63,XSD,9
64,XSW,4
65,XT,8
