pair_1,pair_2
MTUM,NXTG
MTUM,PIZ
MTUM,TLTD
MTUM,TLTE
MTUM,XSW
MTUM,XT
NULG,PIN
NULG,SOXX
NULG,USD
NUMG,PIZ
NUMG,TLTE
NUMG,XSW
NUMG,XT
NXTG,ONEQ
NXTG,TECL
NXTG,TLTD
NXTG,VV
ONEQ,TECL
PIN,SOXX
PIN,TECL
PIN,TLTD
PIN,USD
PIN,VGT
PIN,VV
PIN,XLK
PIZ,TQQQ
PIZ,XSW
SOXX,TLTD
SOXX,VGT
SOXX,VV
SOXX,XLK
TECL,TLTD
TECL,XSW
TLTD,TQQQ
TLTD,USD
TLTD,XSW
TLTE,XSW
TLTE,XT
TQQQ,XSW
VGT,VV
XSW,XT
ARKK,ARKW
ARKK,CQQQ
ARKK,IPAY
ARKQ,GAMR
ARKW,IPAY
CIBR,FTC
CIBR,FTEC
CIBR,FTXL
CIBR,FXL
CIBR,IEFA
CIBR,IGM
CIBR,IYW
CQQQ,IPAY
CQQQ,ITEQ
CWEB,FXI
FTC,FTXL
FTC,FXL
FTC,HACK
FTEC,FTXL
FTEC,IEFA
FTXL,FXL
FTXL,HACK
FTXL,IEFA
FTXL,IYW
FXL,HACK
FXL,IEFA
FYC,IEFA
GAMR,ITEQ
HACK,IEFA
HACK,IGM
HACK,IGV
IEFA,IGM
IEFA,IGV
IEFA,IYW
PSCT,PSI
PSCT,PTF
PSCT,QYLD
PSCT,XSD
PSI,QQEW
PSI,QQQ
PSI,QQQE
PSI,QYLD
PTF,QQEW
PTF,QQQE
PTF,QYLD
QQEW,QYLD
QQEW,XSD
QQQ,QQQE
QQQ,QYLD
QQQE,QYLD
QQQE,XSD
QTEC,QYLD
QTEC,XNTK
QYLD,ROM
QYLD,XNTK
QYLD,XSD
SMH,TDIV
