,PC1,PC2,PC3,PC4,PC5
ARKK,-35.19020183450943,-29.547456926445943,17.92323780533656,26.40180865413458,-42.58885709139436
ARKQ,-33.41494131775732,-29.80655411667561,0.3956398122681006,16.922119627590348,-18.965948611727786
ARKW,-27.189602676159545,2.543030378652438,13.10451403783388,25.00861182241303,-44.393797577116366
CIBR,-32.80753013773532,-41.73723131187144,-14.250549762705775,-24.681879348588716,-10.856153433318429
CQQQ,-23.062387464940866,-68.79029395290063,0.8070690500649856,106.71093230846932,32.71339141193351
CWEB,23.647467183792667,-51.2339267208342,59.10989627693495,297.63283435452576,28.999383987862497
FDN,25.54771937743721,109.69284874059758,-22.962479240524093,13.622281750081884,-13.257564181938411
FTC,-7.712196294404057,19.486949772033487,-28.34929431299553,-16.768439472922427,-1.1780029489775892
FTEC,-7.332959251813792,60.41501529619475,-16.112519522182357,-17.37232072386522,-17.69939570935046
FTXL,-36.48588310932235,-9.472846264214725,-3.8322918378395703,10.41194955179326,-23.33295427611186
FXI,-25.027146648530188,-77.79110657430688,32.66437358455148,68.63319357926616,83.43283428236829
FXL,-8.601417785309252,36.71303097409139,-18.088711570188426,-3.3447400942965295,-14.891168975827426
FXP,31.102027424421127,-88.30917534685207,-87.88342138593475,-149.952464845384,66.65220920269186
FYC,-24.60884434183868,-34.44151086993696,-21.64176321446858,-8.95651403917592,-5.079962534245289
HACK,-27.641070041582093,-35.914112730112706,-16.75092386472728,-19.049700899078115,-8.778858911124148
IDLV,-24.435484287342476,-84.53044556529332,-33.23920229588965,-23.672243536619703,38.070654036954984
IDX,-29.990117819327594,-100.01529298608482,-25.54343386740386,-1.7017742489913832,37.149970305325255
IEFA,-17.872035896726967,-36.73116286203443,-5.460502362642471,-14.301289703379416,52.2024642769932
IGM,-30.34443926301245,-6.899951294701292,-4.982805684794381,-22.22379466841857,-17.24591308152804
IGV,-25.28913498310473,-6.918658461678509,0.6655398981062703,-21.37638864742862,-11.645274086706115
IPAY,-28.553915804152453,-47.859573807333,-15.842514341829162,-16.058187284877402,-5.347491744325047
ISMD,-34.493342431496316,-72.25964732691119,-23.284057571445718,-13.649610424392437,7.546585884973179
ITEQ,-29.221047830015017,-47.75261192671485,-14.150655962982356,-4.100862489232608,-12.665846592712736
IXN,-32.43854535249709,-17.514310852651665,-3.0124879651706693,-24.167551817396948,-12.525464201294575
IYW,-15.465611221602177,41.1841254620039,-9.10158929866926,-18.66673291536907,-18.13414517926931
KWEB,-29.23647065486045,-82.76723578606064,16.759414841616763,125.97104828705388,44.546719660566474
MTUM,18.70847927041722,78.00478637442819,-32.340499346221044,-9.288190158494393,9.469292543141444
NULG,-28.740383734471763,-19.595378311156235,-14.122326593163269,-27.452698513832757,-11.985983359792307
NUMG,-34.95075933646818,-53.44431808233887,-15.485519180028295,-17.382820710043013,-7.449462504109062
NXTG,-20.54524524495738,-27.29471453065375,-24.127427720936698,-4.150181564391411,10.934112766679323
ONEQ,-31.90272929299012,-27.446849033057337,-7.182792551610422,-24.013582041584197,-10.46749857331359
PIN,-31.270598002548898,-88.19803967869433,-28.10499722254605,-21.67075114355544,31.230787319063783
PIZ,-35.03554449173394,-69.22505243696355,-19.244678601313037,-18.826189565967727,13.344491997361215
PNQI,-40.11519893567594,-53.931645091408555,1.5665491732675612,1.9875953607649985,-13.93436443070247
PRNT,-43.56051982604412,-78.93312271566977,-5.634947797232802,4.445125098824057,-8.848746507374898
PSCT,-37.143132445000695,-51.82512426613535,-14.440292049424515,-6.862463379228178,-11.611053618857987
PSI,-49.02020983359618,-36.818002652896624,2.9385778493300903,3.2242034385343823,-26.727700066531728
