,Index,Cluster
0,ARKK,3
1,ARKQ,1
2,ARKW,1
3,CIBR,3
4,CQQQ,3
5,CWEB,3
6,DTEC,1
7,FDN,1
8,FTC,0
9,FTEC,0
10,FTXL,3
11,FXI,3
12,FXL,3
13,FXP,3
14,FYC,3
15,GAMR,3
16,HACK,3
17,IDLV,3
18,IDMO,3
19,IDX,1
20,IEFA,3
21,IGM,3
22,IGV,3
23,IPAY,1
24,ISMD,3
25,ISRA,3
26,ITEQ,3
27,IXN,3
28,IYW,3
29,KEMQ,3
30,KGRN,3
31,KWEB,1
32,LRGE,4
33,MTUM,1
34,NULG,3
35,NUMG,3
36,NXTG,1
37,ONEQ,0
38,PIN,0
39,PIZ,3
40,PNQI,1
41,PRNT,0
42,PSCT,1
43,PSI,1
44,PTF,3
45,QQEW,3
46,QQQ,3
47,QQQE,3
48,QQXT,3
49,QTEC,3
50,QYLD,1
51,REW,3
52,ROM,3
53,SKYY,3
54,SMH,3
55,SNSR,3
56,SOXL,3
57,SOXS,3
58,SOXX,3
59,SUSA,3
60,TDIV,3
61,TECL,3
62,TECS,3
63,TLTD,3
64,TLTE,3
65,TQQQ,3
66,USD,3
67,VGT,1
68,VV,0
69,XITK,1
70,XLK,1
71,XNTK,0
72,XSD,1
73,XSW,2
74,XT,3
